nombreArtista,urlArtista,urlCancion,letraCancion
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/en-accion/si-pero-no/,"(canta marcos) 


Me quieres a tu modo sin entregas, 

Sin los afectos que de ti percibo 

Y a veces me parece que quisieras 

Alejarte de mi y no estar conmigo 

Amas mi vos, mi arte, mis canciones 

Pero eso nada mas, tan solo eso 

Y no sientes ardientes emociones 

Ciando te acaricio, con mis besos 


(Estribillo) 


Si pero no, que no que no 

Tu dices que me quieres pero no 

Que no que no 

Tu dices que me quieres, pero no 

Que no que no 

Tu dices que me quieres, pero no 

Que no que no 

Pero tu amor me hiere 


(Estribillo) 


Me quieres si, pero de que manera 

No comprendo tu amor 

No lo comprendo 

Y si amar es entregar la vida entera 

A quien de veras se le esta queriendo 


Y me quieres si pero hasta donde 

Llegar a tu amor que ni al besar se atreve 

Y que a mi corazón no corresponde 

Porque a mis besos lo apagas con la nieve"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/stand-by-me/,"Noche ya llego, ya la tierra oscureció 
Y la luna es la luz que brilla ante mí 
Miedo no, no tendré ooo, no me asustare 
Siempre que, que tú estés, junto a mí 
Mi vida quédate aquí ooo si aquí 
Quédate, junto a mí (junto a mí, junto a mi) 
Y Aunque las montañas y el cielo caiga 
No voy a preocuparme, porque sé que tu estas junto a mi 
No llorare, no llorare uuu yo te sentiré 
Aunque sé que tu estas junto a mí 
Mi vida quédate aquí ooo aquí 
Quédate junto a mi (junto a mí, junto a mi) oo noo 
No temeré a la oscuridad, no llorare una vez más 
Porque yo se que estas junto a mi 
Mi vida quédate aquí ooo aquí 
Quédate junto a mí (junto a mí, junto a mi) 
Mi vida quédate aquí ooo aquí 
Quédate junto a mi (junto a mí, junto a mi) ooo 
No temeré a la oscuridad, no llorare una vez más 
Porque yo se que estas junto a mi 
Mi vida quédate aquí ooo si aquí 
Quédate junto a mí junto a mí."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/he-tratado-de-olvidarte/,"Que, te has vuelto a enamorar? 
Me han contado que te quiere como a nadie, 
Y que no te hace mal 
Si, me alegro en realidad, 
Merecías un amor que te quisiera y te supiera valorar 

Que, te he visto por ahí, 
Caminabas sonriendo en sus brazos y luces tan feliz 
Si, mereces lo mejor, 
Pero no puedo entender que tu alegría a mi me cause tal dolor 

No te vayas, no te voy a reprochar, 
Una cosa que te quiero preguntar 
Como puedes olvidarte de lo nuestro, 
Y yo no puedo hacer igual 

He tratado de olvidarte en otro amor 
Y no puedo 
He tratado de arrancarme de la piel aquellos besos 
He tratado de encontrar un nuevo amor 
En otro cuerpo 
Y lo unico que hago es recordar 
Que no te tengooooooo 
Que no te tengooooooo 

No te vayas, ni te voy a reprochar, 
Una cosa que te quiero preguntar 
Como puedes olvidarte de lo nuestro, 
Y yo no puedo hacer igual 

He tratado de olvidarte en otro amor 
Y no puedo 
He tratado de arrancarme de la piel aquellos besos 
He tratado de encontrar un nuevo amor 
En otro cuerpo 
Y lo unico que hago es recordar 
Que no te tengoooooo 
Que no te tengoooooo 

He tratado de olvidarte y yo no puedo 
He tratado de olvidarte y te juro que no puedo 
He tratado de olvidarte y yo no puedo 
Es que.... 

Es que no puedo, no puedo 
Olvidarte en otro cuerpo y otra piel 
Es que no puedo, no puedo 
Solo me hace recordar sus instintos de mujer 
Es que no puedo, no puedo 
No puedo, no puedo y no puedo, no puedo olvidarla 

He tratado de olvidarte y yo no puedo 
He tratado 

Es que no puedo, no puedo 
de arrancarme de mi mente esos besos del pasado 
Es que no puedo, no puedo 
Solo te pido pensando en tu cuerpo y te juro mujer que te amo 
Es que no puedo, no puedo 
No puedo no, y no puedo no, y no puedo no, y no puedo no 

He tratado de olvidarte y yo no puedo 

Es que no puedo, no puedo 
Es que no puedo, no puedo 
Es que no puedo, no puedo 
Es que no puedo, no puedo 
Es que no puedo, no puedo 
Es que no puedo, no puedo 
Es que no puedo, no puedo 

Arrancarme de los labios esos besos de tu boca 
Es que no puedo, no puedo 
Si tan solo con mirarte, esa furia me provoca 
Es que no puedo, no puedo 
Yo no puedo seguir, un minuto sin ti 
Es que no puedo, no puedo 
Si sabes que eres mi anhelo, yo te juro que me muero 
Es que no puedo, es que no puedo olvidarte. 
Es que no puedo, es que no puedo olvidarte. 
Es que no puedo, es que no puedo olvidarte. 
Es que no puedo, es que no puedo olvidarte. 
Es que no puedo, es que no puedo olvidarte. 
Es que no puedo"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/aunque-estes-con-el/,"Que bonitas estas, cada dia mas, 
Tanto q decir, tanto q reir, para no llorar 
Se que puedo controlar mis pensamientos 
pero es imposible callar el sentimiento 
q es libre como el viento. 
No pretendo q lo dejes todo por mi amor 
no te digo q conmigo te va a ir mejor 
solo pido q no ignores a tu corazon, 
es el unico q siempre tiene la razon. 
He inventado mil razones para olvidarte 
He luchado con mis ganas para no llamarte 
Mi promesa siempre a sido ser un hombre fiel 
Mi promesa es respetar tu piel 
Y no dejare de amarte 
Aunque estes con el. 
Sobrevivire, pensando en ti lo hare, quedan 
los recuerdos flotando entre tus besos 
anoche lo soñé. 
Se q puedo controlar mis pensamientos pero 
es imposible callar el sentimiento 
que arde aqui muy dentro. 
No pretendo q lo dejes todo por mi amor 
no te digo q conmigo te va a ir mejor 
solo pido q no ignores a tu corazon 
es el unico q siempre tiene la razon. 
He inventado mil razones para olvidarte 
He luchado con mis ganas para no llamarte 
Mi promesa siempre a sido ser un hombre fiel 
mi promesa es respetar tu piel 
Y no dejare de amarte 
Aunque estes con el..."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/a-donde-vas/,"Hoy te siento un poco diferente 
te tengo aquí a mi lado pero estas ausente 
dime por favor que hago conmigo, 
dime como diablos te perdido, que lo puedo remediar 
si para mi tu eres lo único, si en este mundo 
somos tu y yo, ya no me sirve este a dios. 
A donde vas que no te puedo acompañar 
huir no es el mejor camino, no te puedes marchar 

A donde vas dejando a un lado tu lugar 
si todo lo que hemos vivido, no lo puedes borrar. 
Sigues agachando la mirada y el beso que me diste no me sabe 
a nada nooo 
dime que esta no es la despedida, dime que soy parte de tu vida 
y que sin mi te ira muy mal, si para mi tu eres lo único 
si en este mundo somos tu y yo, ya no me sirve este a dios. 
A donde vas que no te puedo acompañar 
huir no es el mejor camino, no te puedes marchar 

A donde vas dejando a un lado tu lugar 
si todo lo que hemos vivido, no lo puedes borrar."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/dame-tu-amor/,"Quiero ver la luna contigo en el desierto 
Quiero sentar a mirar lo inmenso que es el cielo 
Quiero narrar poemas escritos por mis manos 
Amarte en mis sueños despertar entre tus brazos 

Alúmbrame la vida con tu rayo de sol 
Enséñame gaviota a bolar con tu amor 
El brillo de tus ojos que no paro de ver 
Tus labios, tu sonrisa me van a enloquecer 

Dame tu amor… no cierre las puertas al corazón 
No le niegues el paso ven dale la mano 
Ayúdalo a quererme y dile que te extraño 
Dame tu amor… no cierre las puertas al corazón 
No le niegues el paso ven dale la mano 
Ayúdalo a quererme y dile que te extraño 

Quiero beber agua en tu fuente del amor 
Ven quítale la sed a mi pobre corazón 
Acércame tus labios extiéndeme tus brazos 
Regálame tus besos tu sabes que te amo 

No le cierres las puertas al corazón 
No le niegues el derecho a un lindo amor 
No lo encierres al silencio déjate querer 
No lo arrojes al vacío sin saber porque 

Dame tu amor… no cierre las puertas al corazón 
No le niegues el paso ven dale la mano 
Ayúdalo a quererme y dile que te extraño 
Dame tu amor… corazones rotos con remordimientos 
Y en tus ojos puedo ver tu pensamiento 
Solamente dios sabes lo que sientes 
Sin cariño esta una flor se marchita con el tiempo 

Voy a buscar hasta encontrar el amor 
Y hacerte sentir lo que nunca antes 
Sentía tu cuerpo como en aquellos tiempos 
Quiero decirte al oído lo que estoy sintiendo… 

Dame tu amor… tu amor, ven dame tu amor… 
Dame tu amor… tu amor, ven dame tu amor… 
Dame tu amor…"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/no-saber-de-ti/,"Nadie me habla de ti, sin embargo te extraño, 
No me resigno a olvidarte aunque pasen los años. 
Que será de ti, por donde andarás, 
A qué distancia te encuentras de mi soledad. 

Como quisiera saber si es que aún me recuerdas, 
si has preguntado por mí, si te duele mi ausencia. 
Que ha cambiado en ti, y en tu corazón, 
como ha seguido tu vida después de mi amor. 

Desde que no estás aquí ya no puedo encontrar, 
de nuevo el sentido de la libertad, 
sin ti no imagino volver a empezar, 
quiero saber que fue de ti. (2) 
Desde que no estás aquí, 
sólo me habita el dolor, 
se me va la vida, sin saber de ti 
Amor. 
En otros brazos un día dejé mi destino, 
sin encontrar la manera de echarte al olvido. 
Fue como intentar, detener el mar, 
con un puñado de arena tapar un volcán. 

Tan grande fue esta pasión que ocupo mis sentidos 
que sólo escucho tu voz y te siento conmigo. 
Que mis ojos son sólo para ti, 
tu sabor y tu perfume quedaron en mí. 

Desde que no estás aquí ya no puedo encontrar, 
de nuevo el sentido de la libertad, 
sin ti no imagino volver a empezar, 
quiero saber que fue de ti. (2) 
Desde que no estás aquí, 
sólo me habita el dolor, 
se me va la vida, sin saber de ti 
Amor."
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/ritmo-al-corazon/,"Voy pensando en ti (pensando en ti) 
No hago otra cosa que, Pensar en ti 
Ritmo y diversión sobre la arena 
La fiesta ya estas encendida 
No te quedes atrás 
Levantemos alto nuestros brazos 
Con el ritmo bien pegao 
Sé que te va a gustar 
El verano está caliente , ya salió el sol 
Y tu cuerpo tan ardiente 
Yo muy loco estoy 
Voy pensando en ti (yo no paro de pensar en ti) 
No hago otra cosa que, Pensar en ti (sé que tú me vuelves loco) 
Voy pensando en ti (pensando en ti) 
No hago otra cosa que, darle ritmo al corazón 
Ritmo y diversión sobre la arena 
La fiesta ya estas encendida 
No te quedes atrás noo 
Levantemos alto nuestros brazos 
Con el ritmo bien pegao 
Sé que te va a gustar 
El verano está caliente, ya salió el sol 
Y tu cuerpo tan ardiente 
Yo muy loco estoy 
Voy pensando en ti (pensando en ti) 
No hago otra cosa que, pensar en ti	
sé que tú me vuelves loco, se que tu rompes el coco 
Voy pensando en ti (pensando en ti) 
No hago otra cosa que, darle ritmo al corazón 
El verano está caliente, ya salió el sol 
Y tu cuerpo tan ardiente 
Yo muy loco estoy 
Voy pensando en ti (pensando en ti) 
No hago otra cosa que, pensar en ti	
En tus ojos, tu boca, tu pelo, tu cuerpo 
Voy pensando en ti (pensando en ti) 
Sé que No paro de pensar en vos mamá 
No hago otra cosa que, darle ritmo al corazón"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/la-fiesta-sigue-encendida/enganchados-vivo/,"El reloj ya marcó medianoche 
y otra vez encontré que tan sólo 
me acompaña la TV 
el soplar de ese viento 
afuera vive la desolación 
que me oprime con angustia el corazón 
No hay más que soledad, no hay más que soledad 
nadie ni por piedad 
Dame, dame, dame amor esta noche 
alguien que me ayude a las sombras borrar 
Dame, dame, dame amor esta noche 
hasta que amanezca y ver el día callar 
No hay más que soledad, no hay más que soledad 
nadie ni por piedad 
Dame, dame, dame amor esta noche 
alguien que me ayude a las sombras borrar 
Dame, dame, dame amor esta noche 
hasta que amanezca y ver el día callar 
___________________________________ 

Te quiero mucho y bien compréndelo 
te quiero mucho, con toda intensidad 
te necesito, te digo la verdad 
Te quiero mucho y pido sin cesar 
que no me dejes, yo que te encontré 
pues voy a amarte, siempre quiero amarte 
No puedo creer que es verdad 
que tanta felicidad 
haya llegado hasta mí 
y simplemente aprendí 
que el cielo siento alcanzar 
pensando que voy a amar 
por eso no puedo así 
quitar mis ojos de ti 
Te quiero mucho y bien compréndelo 
te quiero mucho, con toda intensidad 
te necesito, te digo la verdad 
Te quiero mucho y bien compréndelo 
te quiero mucho, con toda intensidad 
te necesito, te digo la verdad"
Banda XXI,http://www.sonicomusica.com/cuarteto/banda-xxi/,http://www.sonicomusica.com/cuarteto/banda-xxi/junto-a-ti/se-que-lloraras/,"Sé que tu vas a llorar, Cuando veas que perdiste 
A quien tanto te quería, Tú no sabes lo que hiciste 
Solo te importa el dinero, Quien lo tiene es tu dueño 
Ahora quieres volver, Pero ya no te quiero. 

Sé que lloraras, Tu vas a llorar 
Cuando veas que perdiste, Que te quise de verdad 
Se que lloraras, tu vas a llorar 
tu pensaste que el dinero, era la felicidad 
se que lloraras, tu vas a llorar 
Ahora vives con un hombre que no quieres ni besar 
Sé que lloraras, Tú vas a llorar 
yyyy llora llora llora llora, Que ahora te quedaste sola 
Sé que tu vas a llorar (por mi), cuando veas que perdiste 
a quien tanto te quería, tú no sabes lo que hiciste 
solo te importa el dinero, quien lo tiene es tu dueño 
ahora quieres volver, pero ya no te quiero 

Sé que lloraras, Tú vas a llorar 
Tanto tanto tanto que te amaba y tú me engañaba 
Sé que lloraras, tú vas a llorar 
La gente me lo decía, esa mujer no te quería 
Sé que lloraras, tú vas a llorar 
Claro, Como no tengo un mercedes 
Tú me dejaste solito 
Sé que lloraras, tú vas a llorar 
Mira, quédate con todo el dinero 
Porque yo, no te quiero"
